month,quantity,product_real_price,service_score,real_disp_pers_inc,product_stores,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
11-Sep,32357528,0.716057,650,10108.7,632.4788,0,0,0,0,0,0,0,0,1,0,0,0
11-Oct,29980213,0.736608,610,10137.6,635.6656,0,0,0,0,0,0,0,0,0,1,0,0
11-Nov,26921350,0.745772,711,10103.5,636.2263,0,0,0,0,0,0,0,0,0,0,1,0
11-Dec,23086765,0.727424,694,10123.6,636.1872,0,0,0,0,0,0,0,0,0,0,0,1
12-Jan,23225463,0.73465,723,10185,632.8764,1,0,0,0,0,0,0,0,0,0,0,0
12-Feb,25936413,0.73503,713,10216.4,629.2961,0,1,0,0,0,0,0,0,0,0,0,0
12-Mar,34022658,0.738825,707,10240.4,628.0657,0,0,1,0,0,0,0,0,0,0,0,0
12-Apr,35150728,0.756483,754,10242,621.6746,0,0,0,1,0,0,0,0,0,0,0,0
12-May,37090859,0.778172,711,10277.2,627.2002,0,0,0,0,1,0,0,0,0,0,0,0
12-Jun,32954080,0.787727,757,10292.6,627.9698,0,0,0,0,0,1,0,0,0,0,0,0
12-Jul,32491464,0.781827,741,10301.9,625.9091,0,0,0,0,0,0,1,0,0,0,0,0
12-Aug,36275452,0.773114,749,10279.6,624.4939,0,0,0,0,0,0,0,1,0,0,0,0
12-Sep,29867393,0.772634,854,10285.1,621.0375,0,0,0,0,0,0,0,0,1,0,0,0
12-Oct,30248413,0.773623,864,10300.7,618.3723,0,0,0,0,0,0,0,0,0,1,0,0
12-Nov,25981472,0.770087,842,10454.6,616.8919,0,0,0,0,0,0,0,0,0,0,1,0
12-Dec,23106369,0.758539,983,10776.4,615.3919,0,0,0,0,0,0,0,0,0,0,0,1
13-Jan,23922198,0.747981,898,10214.1,614.0812,1,0,0,0,0,0,0,0,0,0,0,0
13-Feb,24946194,0.732188,969,10291.6,609.4747,0,1,0,0,0,0,0,0,0,0,0,0
13-Mar,31702333,0.741493,1005,10322.9,605.5987,0,0,1,0,0,0,0,0,0,0,0,0
13-Apr,33467868,0.749072,852,10354.8,605.04,0,0,0,1,0,0,0,0,0,0,0,0
13-May,34788760,0.754121,928,10395.2,604.79,0,0,0,0,1,0,0,0,0,0,0,0
